,oracion,gold,error
0,un hombre camina,si,-
1,un hombre caminan,no,No tree
2,un hombre mira a un hombre,si,-
3,un hombre mira a un hombres,no,No tree
4,un hombre mira a un mujer,no,No tree
5,un hombre mira a un mujeres,no,No tree
6,un hombre mira a unos hombre,no,No tree
7,un hombre mira a unos hombres,si,-
8,un hombre mira a unos mujer,no,No tree
9,un hombre mira a unos mujeres,no,No tree
10,un hombre mira a una hombre,no,No tree
11,un hombre mira a una hombres,no,No tree
12,un hombre mira a una mujer,si,-
13,un hombre mira a una mujeres,no,No tree
14,un hombre mira a unas hombre,no,No tree
15,un hombre mira a unas hombres,no,No tree
16,un hombre mira a unas mujer,no,No tree
17,un hombre mira a unas mujeres,si,-
18,un hombre mira a el hombre,si,-
19,un hombre mira a el hombres,no,No tree
20,un hombre mira a el mujer,no,No tree
21,un hombre mira a el mujeres,no,No tree
22,un hombre mira a los hombre,no,No tree
23,un hombre mira a los hombres,si,-
24,un hombre mira a los mujer,no,No tree
25,un hombre mira a los mujeres,no,No tree
26,un hombre mira a la hombre,no,No tree
27,un hombre mira a la hombres,no,No tree
28,un hombre mira a la mujer,si,-
29,un hombre mira a la mujeres,no,No tree
30,un hombre mira a las hombre,no,No tree
31,un hombre mira a las hombres,no,No tree
32,un hombre mira a las mujer,no,No tree
33,un hombre mira a las mujeres,si,-
34,un hombre miran a un hombre,no,No tree
35,un hombre miran a un hombres,no,No tree
36,un hombre miran a un mujer,no,No tree
37,un hombre miran a un mujeres,no,No tree
38,un hombre miran a unos hombre,no,No tree
39,un hombre miran a unos hombres,no,No tree
40,un hombre miran a unos mujer,no,No tree
41,un hombre miran a unos mujeres,no,No tree
42,un hombre miran a una hombre,no,No tree
43,un hombre miran a una hombres,no,No tree
44,un hombre miran a una mujer,no,No tree
45,un hombre miran a una mujeres,no,No tree
46,un hombre miran a unas hombre,no,No tree
47,un hombre miran a unas hombres,no,No tree
48,un hombre miran a unas mujer,no,No tree
49,un hombre miran a unas mujeres,no,No tree
50,un hombre miran a el hombre,no,No tree
51,un hombre miran a el hombres,no,No tree
52,un hombre miran a el mujer,no,No tree
53,un hombre miran a el mujeres,no,No tree
54,un hombre miran a los hombre,no,No tree
55,un hombre miran a los hombres,no,No tree
56,un hombre miran a los mujer,no,No tree
57,un hombre miran a los mujeres,no,No tree
58,un hombre miran a la hombre,no,No tree
59,un hombre miran a la hombres,no,No tree
60,un hombre miran a la mujer,no,No tree
61,un hombre miran a la mujeres,no,No tree
62,un hombre miran a las hombre,no,No tree
63,un hombre miran a las hombres,no,No tree
64,un hombre miran a las mujer,no,No tree
65,un hombre miran a las mujeres,no,No tree
66,un hombres camina,no,No tree
67,un hombres caminan,no,No tree
68,un hombres mira a un hombre,no,No tree
69,un hombres mira a un hombres,no,No tree
70,un hombres mira a un mujer,no,No tree
71,un hombres mira a un mujeres,no,No tree
72,un hombres mira a unos hombre,no,No tree
73,un hombres mira a unos hombres,no,No tree
74,un hombres mira a unos mujer,no,No tree
75,un hombres mira a unos mujeres,no,No tree
76,un hombres mira a una hombre,no,No tree
77,un hombres mira a una hombres,no,No tree
78,un hombres mira a una mujer,no,No tree
79,un hombres mira a una mujeres,no,No tree
80,un hombres mira a unas hombre,no,No tree
81,un hombres mira a unas hombres,no,No tree
82,un hombres mira a unas mujer,no,No tree
83,un hombres mira a unas mujeres,no,No tree
84,un hombres mira a el hombre,no,No tree
85,un hombres mira a el hombres,no,No tree
86,un hombres mira a el mujer,no,No tree
87,un hombres mira a el mujeres,no,No tree
88,un hombres mira a los hombre,no,No tree
89,un hombres mira a los hombres,no,No tree
90,un hombres mira a los mujer,no,No tree
91,un hombres mira a los mujeres,no,No tree
92,un hombres mira a la hombre,no,No tree
93,un hombres mira a la hombres,no,No tree
94,un hombres mira a la mujer,no,No tree
95,un hombres mira a la mujeres,no,No tree
96,un hombres mira a las hombre,no,No tree
97,un hombres mira a las hombres,no,No tree
98,un hombres mira a las mujer,no,No tree
99,un hombres mira a las mujeres,no,No tree
100,un hombres miran a un hombre,no,No tree
101,un hombres miran a un hombres,no,No tree
102,un hombres miran a un mujer,no,No tree
103,un hombres miran a un mujeres,no,No tree
104,un hombres miran a unos hombre,no,No tree
105,un hombres miran a unos hombres,no,No tree
106,un hombres miran a unos mujer,no,No tree
107,un hombres miran a unos mujeres,no,No tree
108,un hombres miran a una hombre,no,No tree
109,un hombres miran a una hombres,no,No tree
110,un hombres miran a una mujer,no,No tree
111,un hombres miran a una mujeres,no,No tree
112,un hombres miran a unas hombre,no,No tree
113,un hombres miran a unas hombres,no,No tree
114,un hombres miran a unas mujer,no,No tree
115,un hombres miran a unas mujeres,no,No tree
116,un hombres miran a el hombre,no,No tree
117,un hombres miran a el hombres,no,No tree
118,un hombres miran a el mujer,no,No tree
119,un hombres miran a el mujeres,no,No tree
120,un hombres miran a los hombre,no,No tree
121,un hombres miran a los hombres,no,No tree
122,un hombres miran a los mujer,no,No tree
123,un hombres miran a los mujeres,no,No tree
124,un hombres miran a la hombre,no,No tree
125,un hombres miran a la hombres,no,No tree
126,un hombres miran a la mujer,no,No tree
127,un hombres miran a la mujeres,no,No tree
128,un hombres miran a las hombre,no,No tree
129,un hombres miran a las hombres,no,No tree
130,un hombres miran a las mujer,no,No tree
131,un hombres miran a las mujeres,no,No tree
132,un mujer camina,no,No tree
133,un mujer caminan,no,No tree
134,un mujer mira a un hombre,no,No tree
135,un mujer mira a un hombres,no,No tree
136,un mujer mira a un mujer,no,No tree
137,un mujer mira a un mujeres,no,No tree
138,un mujer mira a unos hombre,no,No tree
139,un mujer mira a unos hombres,no,No tree
140,un mujer mira a unos mujer,no,No tree
141,un mujer mira a unos mujeres,no,No tree
142,un mujer mira a una hombre,no,No tree
143,un mujer mira a una hombres,no,No tree
144,un mujer mira a una mujer,no,No tree
145,un mujer mira a una mujeres,no,No tree
